# time (hhmmss),heat->kettle,kettle->air,kettle->boil,condenser->air,alc->condenser,alc->output,H2O->condenser,H2O output
000335,3000.000000,837.998291,0.000000,224.974243,85144.914062,22764.363281,36880.285156,12005.007812
000336,3000.000000,841.303528,0.000000,225.861588,88683.476562,23710.435547,38463.289062,12520.295898
000337,3000.000000,844.603638,0.000000,226.747543,88683.476562,23710.435547,38463.289062,12520.295898
000338,3000.000000,847.898865,0.000000,227.632202,88683.476562,23710.435547,38463.289062,12520.295898
000339,3000.000000,851.188660,0.000000,228.515396,88683.476562,23710.435547,38463.289062,12520.295898
000340,3000.000000,854.473633,0.000000,229.397308,88683.476562,23710.435547,38463.289062,12520.295898
000341,3000.000000,857.753723,0.000000,230.277893,92344.554688,24689.263672,40103.335938,13054.152344
000342,3000.000000,861.028381,0.000000,231.157028,92344.554688,24689.263672,40103.335938,13054.152344
000343,3000.000000,864.298218,0.000000,232.034866,92344.554688,24689.263672,40103.335938,13054.152344
000344,3000.000000,867.563171,0.000000,232.911407,92344.554688,24689.263672,40103.335938,13054.152344
000345,3000.000000,870.822998,0.000000,233.786560,92344.554688,24689.263672,40103.335938,13054.152344
000346,3000.000000,874.077698,0.000000,234.660324,96131.437500,25701.724609,41802.070312,13607.111328
000347,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000348,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000349,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000350,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000351,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000352,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000353,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000354,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000355,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000356,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000357,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000358,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000359,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000400,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000401,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000402,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000403,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000404,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000405,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000406,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000407,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000408,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000409,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000410,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000411,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000412,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
